"Year","Month","mean_temperature","mean_precipitation_sum","mean_precipitation_hours","mean_windspeed_10m_max","mean_radiation_sum","count_highwind","max_consecutive_highwind_days","Station","Density","Quota","Zone_A","Zone_B","Zone_Cities","Area_S","Area_U","Type_T"
2000,4,-1.38430913001625,1.47090692735991,1.8814091847011,0.116717479600585,-0.638026826849758,0.0421826746799562,-1.02602480116673,5707,-0.303264717206211,-0.0827997214030991,1,0,0,1,0,0
2000,5,-0.154708191767642,0.169326440837482,0.791794290197113,-0.145167893075841,0.526114897864385,-0.261483033255172,-0.158722068688776,5707,-0.303264717206211,-0.0827997214030991,1,0,0,1,0,0
2000,6,0.653018591408021,-0.552684465998182,-0.747043178019733,-0.0254343082918749,1.16057562774113,0.224971741592377,-0.158722068688776,5707,-0.303264717206211,-0.0827997214030991,1,0,0,1,0,0
2000,7,0.550722993035939,-0.0714623932159227,-0.661727753703808,0.090477991871342,0.771099716887153,0.00385593484349928,-0.158722068688776,5707,-0.303264717206211,-0.0827997214030991,1,0,0,1,0,0
2000,8,0.836633767642295,1.23306445456708,0.0492341155955531,-0.50946369358878,0.153218835266673,-0.438375678654286,-0.158722068688776,5707,-0.303264717206211,-0.0827997214030991,1,0,0,1,0,0
2000,9,0.00347730943707854,1.32760201156568,0.150875330984277,0.219382659745139,-0.724369146235736,0.13357720813618,0.708580663789177,5707,-0.303264717206211,-0.0827997214030991,1,0,0,1,0,0
2000,10,-1.07128413747908,2.56197498174789,1.913534128425,0.00131468405349187,-2.32372352527881,0.00385593484349928,-0.158722068688776,5707,-0.303264717206211,-0.0827997214030991,1,0,0,1,0,0
2001,4,-1.66687389475029,-0.765279670747865,-0.110337326180525,0.524745759662262,-0.228021785794387,0.590549875417193,0.708580663789177,5707,-0.302564671216428,-0.0827997214030991,1,0,0,1,0,0
2001,5,-0.201090811376915,-0.266531828398427,0.823392595499308,0.110858176515419,0.319061917286713,0.269194902942142,-0.158722068688776,5707,-0.302564671216428,-0.0827997214030991,1,0,0,1,0,0
2001,6,0.429112841125074,-0.536936673053758,-0.632762640510133,0.853800824228168,1.34307660706775,0.590549875417193,-0.158722068688776,5707,-0.302564671216428,-0.0827997214030991,1,0,0,1,0,0
2001,7,0.964705179996238,-0.190332830280263,-0.361543853332966,0.127417076538708,0.78815900930954,0.357641225641699,-1.02602480116673,5707,-0.302564671216428,-0.0827997214030991,1,0,0,1,0,0
2001,8,1.20284877918412,0.324772396998538,-0.345744700681869,0.103215607273881,0.399073343707034,0.180748580242612,0.708580663789177,5707,-0.302564671216428,-0.0827997214030991,1,0,0,1,0,0
2001,9,-0.558790804691947,-0.491268073514941,0.036594793474677,0.344423584280187,-0.700519586437371,0.13357720813618,0.708580663789177,5707,-0.302564671216428,-0.0827997214030991,1,0,0,1,0,0
2001,10,-0.738298465358842,0.0992233625687664,0.112430726199943,-0.859748117158911,-1.96634807382617,-0.703714646752929,0.708580663789177,5707,-0.302564671216428,-0.0827997214030991,1,0,0,1,0,0
2002,4,-1.4608519903366,-0.590479169064793,-0.0450341618893259,0.131195902441497,-0.429602412959698,0.13357720813618,-0.158722068688776,5707,-0.30256067095363,-0.0827997214030991,1,0,0,1,0,0
2002,5,-0.589458715866441,3.04202866989232,1.96093158637829,0.570686092547458,0.0336699899379882,0.357641225641699,0.708580663789177,5707,-0.30256067095363,-0.0827997214030991,1,0,0,1,0,0
2002,6,0.672333144946804,0.0851011482508662,-0.159314699398926,0.166733849414612,0.847973571485466,0.13357720813618,0.708580663789177,5707,-0.30256067095363,-0.0827997214030991,1,0,0,1,0,0
